date,product,category,amount,quantity
2025-01-05,iPhone 15 Pro,Смартфоны,129990,2
2025-01-05,Samsung Galaxy S24,Смартфоны,89990,3
2025-01-05,MacBook Air M3,Ноутбуки,149990,1
2025-01-06,AirPods Pro 2,Аксессуары,24990,5
2025-01-06,iPad Air,Планшеты,79990,2
2025-01-06,iPhone 15 Pro,Смартфоны,129990,1
2025-01-07,Dell XPS 15,Ноутбуки,189990,1
2025-01-07,Samsung Galaxy S24,Смартфоны,89990,2
2025-01-07,Apple Watch Ultra 2,Аксессуары,79990,3
2025-01-08,MacBook Pro 14,Ноутбуки,249990,2
2025-01-08,iPhone 15,Смартфоны,99990,4
2025-01-08,AirPods Pro 2,Аксессуары,24990,3
2025-01-09,iPad Pro 12.9,Планшеты,129990,1
2025-01-09,Samsung Galaxy Tab S9,Планшеты,69990,2
2025-01-09,iPhone 15 Pro,Смартфоны,129990,3
2025-01-10,MacBook Air M3,Ноутбуки,149990,2
2025-01-10,Apple Watch SE,Аксессуары,29990,4
2025-01-10,Samsung Galaxy S24,Смартфоны,89990,1
2025-01-11,iPhone 15 Pro Max,Смартфоны,159990,2
2025-01-11,Dell XPS 13,Ноутбуки,139990,1
2025-01-11,AirPods Max,Аксессуары,59990,2
2025-01-12,MacBook Pro 16,Ноутбуки,349990,1
2025-01-12,iPhone 15 Pro,Смартфоны,129990,2
2025-01-12,iPad Air,Планшеты,79990,3
2025-01-13,Samsung Galaxy Z Fold 5,Смартфоны,179990,1
2025-01-13,Apple Watch Ultra 2,Аксессуары,79990,2
2025-01-13,MacBook Air M3,Ноутбуки,149990,1
2025-01-14,iPhone 15,Смартфоны,99990,5
2025-01-14,AirPods Pro 2,Аксессуары,24990,6
2025-01-14,iPad Pro 11,Планшеты,99990,2
2025-01-15,Samsung Galaxy S24 Ultra,Смартфоны,134990,2
2025-01-15,Dell XPS 15,Ноутбуки,189990,1
2025-01-15,Apple Watch SE,Аксессуары,29990,3
2025-02-01,iPhone 15 Pro,Смартфоны,129990,4
2025-02-01,MacBook Air M3,Ноутбуки,149990,2
2025-02-01,AirPods Pro 2,Аксессуары,24990,8
2025-02-02,Samsung Galaxy S24,Смартфоны,89990,3
2025-02-02,iPad Air,Планшеты,79990,2
2025-02-02,Apple Watch Ultra 2,Аксессуары,79990,1
2025-02-03,MacBook Pro 14,Ноутбуки,249990,1
2025-02-03,iPhone 15 Pro Max,Смартфоны,159990,2
2025-02-03,Samsung Galaxy Tab S9,Планшеты,69990,3
2025-02-04,Dell XPS 13,Ноутбуки,139990,2
2025-02-04,iPhone 15,Смартфоны,99990,3
2025-02-04,AirPods Max,Аксессуары,59990,1
2025-02-05,Samsung Galaxy Z Flip 5,Смартфоны,109990,2
2025-02-05,MacBook Pro 16,Ноутбуки,349990,1
2025-02-05,iPad Pro 12.9,Планшеты,129990,1
