Date,item,Amount,Category
2024-01-15,Ноутбук Dell,45000,Электроника
2024-01-16,Мышь Logitech,2500,Аксессуары
2024-01-17,Клавиатура Razer,8000,Аксессуары
2024-01-18,Монитор Samsung,35000,Электроника
2024-01-19,Наушники Sony,12000,Аксессуары
2024-01-20,Ноутбук HP,42000,Электроника
2024-01-21,Планшет iPad,55000,Электроника
2024-01-22,Мышь Apple,3500,Аксессуары
2024-01-23,Клавиатура Apple,15000,Аксессуары
2024-01-24,Монитор LG,28000,Электроника
2024-01-25,Наушники Bose,18000,Аксессуары
2024-01-26,Ноутбук Lenovo,38000,Электроника
2024-01-27,Планшет Samsung,32000,Электроника
2024-01-28,Мышь Microsoft,2000,Аксессуары
2024-01-29,Клавиатура Corsair,12000,Аксессуары
2024-01-30,Монитор ASUS,25000,Электроника
2024-02-01,Наушники Sennheiser,22000,Аксессуары
2024-02-02,Ноутбук ASUS,41000,Электроника
2024-02-03,Планшет Lenovo,28000,Электроника
2024-02-04,Мышь Razer,4500,Аксессуары
2024-02-05,Клавиатура Logitech,6000,Аксессуары
2024-02-06,Монитор Dell,32000,Электроника
2024-02-07,Наушники Audio-Technica,15000,Аксессуары
2024-02-08,Ноутбук Acer,35000,Электроника
2024-02-09,Планшет Huawei,25000,Электроника
2024-02-10,Мышь SteelSeries,3000,Аксессуары
2024-02-11,Клавиатура HyperX,9000,Аксессуары
2024-02-12,Монитор AOC,20000,Электроника
2024-02-13,Наушники JBL,8000,Аксессуары
2024-02-14,Ноутбук MSI,48000,Электроника
